transaction_id,account_id,transaction_date,transaction_type,amount,currency,channel,description
TXN0001,A001,2024-06-01 09:15:00,DEPOSIT,500.00,USD,ATM,Cash deposit
TXN0002,A001,2024-06-03 14:30:00,WITHDRAWAL,-100.00,USD,ATM,Cash withdrawal
TXN0003,A002,2024-06-05 10:00:00,TRANSFER,-200.00,USD,MOBILE,Transfer to savings
TXN0004,A003,2024-06-06 11:45:00,DEPOSIT,1000.00,USD,BRANCH,Salary credit
TXN0005,A003,2024-06-08 09:30:00,WITHDRAWAL,-50.00,USD,ATM,Cash withdrawal
TXN0006,A004,2024-06-10 13:00:00,DEPOSIT,750.00,USD,MOBILE,Mobile deposit
TXN0007,A005,2024-06-12 15:20:00,TRANSFER,-300.00,USD,ONLINE,Online transfer
TXN0008,A006,2024-06-15 10:10:00,DEPOSIT,200.00,USD,ATM,Cash deposit
TXN0009,A007,2024-06-18 12:45:00,WITHDRAWAL,-150.00,USD,ATM,Cash withdrawal
TXN0010,A008,2024-06-20 09:00:00,DEPOSIT,1200.00,USD,BRANCH,Salary credit
TXN0011,A009,2024-06-22 14:30:00,TRANSFER,-400.00,USD,MOBILE,Transfer to another account
TXN0012,A010,2024-06-25 11:00:00,DEPOSIT,600.00,USD,ATM,Cash deposit
TXN0013,A011,2024-06-28 10:15:00,WITHDRAWAL,-250.00,USD,ATM,Cash withdrawal
TXN0014,A001,2024-07-01 09:00:00,DEPOSIT,800.00,USD,MOBILE,Mobile deposit
TXN0015,A002,2024-07-03 13:45:00,TRANSFER,-150.00,USD,ONLINE,Online bill payment
TXN0016,A003,2024-07-05 10:30:00,DEPOSIT,1100.00,USD,BRANCH,Salary credit
TXN0017,A004,2024-07-08 12:00:00,WITHDRAWAL,-200.00,USD,ATM,Cash withdrawal
TXN0018,A005,2024-07-10 15:00:00,DEPOSIT,900.00,USD,MOBILE,Mobile deposit
TXN0019,A006,2024-07-12 09:45:00,TRANSFER,-100.00,USD,ONLINE,Online transfer
TXN0020,A007,2024-07-15 11:30:00,DEPOSIT,650.00,USD,ATM,Cash deposit
