account_id,customer_id,account_type,branch_id,opened_at,status
A001,C001,SAVINGS,B001,2024-01-15 10:00:00,ACTIVE
A002,C001,CURRENT,B002,2024-01-20 11:30:00,ACTIVE
A003,C002,SAVINGS,B001,2024-01-25 09:15:00,ACTIVE
A004,C003,SAVINGS,B003,2024-02-05 12:00:00,ACTIVE
A005,C004,CURRENT,B002,2024-02-20 14:30:00,ACTIVE
A006,C005,SAVINGS,B001,2024-03-10 10:45:00,ACTIVE
A007,C006,SAVINGS,B003,2024-03-15 09:00:00,ACTIVE
A008,C007,CURRENT,B002,2024-04-05 11:00:00,ACTIVE
A009,C008,SAVINGS,B001,2024-04-25 13:30:00,ACTIVE
A010,C009,SAVINGS,B003,2024-05-10 15:00:00,ACTIVE
A011,C010,CURRENT,B002,2024-05-20 10:00:00,ACTIVE
A012,C002,SAVINGS,B001,2024-06-01 09:30:00,CLOSED
