balance_id,account_id,balance_date,opening_balance,closing_balance,currency
BAL0001,A001,2024-06-01,1000.00,1500.00,USD
BAL0002,A001,2024-06-02,1500.00,1500.00,USD
BAL0003,A001,2024-06-03,1500.00,1400.00,USD
BAL0004,A002,2024-06-01,2000.00,1800.00,USD
BAL0005,A002,2024-06-02,1800.00,1800.00,USD
BAL0006,A003,2024-06-01,500.00,1500.00,USD
BAL0007,A003,2024-06-02,1500.00,1500.00,USD
BAL0008,A003,2024-06-03,1500.00,1450.00,USD
BAL0009,A004,2024-06-01,300.00,1050.00,USD
BAL0010,A005,2024-06-01,2500.00,2200.00,USD
BAL0011,A006,2024-06-01,800.00,1000.00,USD
BAL0012,A007,2024-06-01,1200.00,1050.00,USD
BAL0013,A008,2024-06-01,1700.00,2900.00,USD
BAL0014,A009,2024-06-01,900.00,500.00,USD
BAL0015,A010,2024-06-01,400.00,1000.00,USD
BAL0016,A011,2024-06-01,1300.00,1050.00,USD
BAL0017,A001,2024-07-01,1400.00,2200.00,USD
BAL0018,A002,2024-07-01,1800.00,1650.00,USD
BAL0019,A003,2024-07-01,1450.00,2550.00,USD
BAL0020,A004,2024-07-01,1050.00,850.00,USD
